capture_date,run_id,event_order,event_type,direction,run_cm,soft_x_cm,soft_y_cm,limit_cm,motor,result,rx_len,elapsed_ms,laser_x_cm,laser_y_cm,circle_x_cm,circle_y_cm,notes
2026-07-24,P3,10,HOME,NONE,待确认,0.00,0.00,18.0,ALL,OK,待确认,待确认,-0.20,0.00,0.00,0.00,"中心视觉归零完成；tension normalize count=40 vmax=60；recenter=(-0.30,0.10) d=0.32 cm"
2026-07-24,P3,20,JOG_CHAIN_FAIL,UP,4.00,0.00,4.00,18.0,M2,TIMEOUT,0,254,0.60,2.60,1.00,-2.20,"上一段 UP 已到 soft=(0.00,4.00)；继续按住时下一段缓冲写入 M2 无应答；tx=02 10 00 F0 00 05 0A 00 00 01 C8 09 4C 00 00 02 01 58 0F"
2026-07-24,P3,30,JOG_STEP,UP,4.00,0.00,8.04,18.0,ALL,OK,待确认,待确认,0.60,2.60,1.20,-6.60,"正常段完成；soft 由约 4.00 cm 增至约 8.04 cm"
2026-07-24,P3,40,JOG_STEP,UP,4.00,0.00,12.08,18.0,ALL,OK,待确认,待确认,0.60,2.50,1.40,-11.30,"正常段完成；中心区域每段为 4.00 cm"
2026-07-24,P3,50,JOG_STEP,RIGHT,4.00,8.03,8.04,18.0,ALL,OK,待确认,待确认,0.90,2.60,-3.20,-11.40,"RIGHT 连续点动；x 补偿参数 x_comp=0.42"
2026-07-24,P3,60,JOG_CHAIN_FAIL,RIGHT,4.00,8.03,8.04,18.0,M2,TIMEOUT,0,253,1.10,2.80,14.70,6.60,"继续按住时下一段缓冲写入 M2 无应答；tx=02 10 00 F0 00 05 0A 00 00 01 E7 0D 0E 00 00 02 01 FF 46"
2026-07-24,P3,70,JOG_CLAMP,RIGHT,2.00,16.10,8.04,18.0,ALL,OK,待确认,待确认,1.20,2.80,6.10,4.30,"代码把 soft=(18.10,8.04) 截到 (18.00,8.04)；cmd=(18.10,8.88) 截到 (18.00,8.88)"
2026-07-24,P3,80,JOG_LIMIT,RIGHT,2.00,18.00,8.04,18.0,ALL,NOT_SENT,待确认,待确认,1.00,2.80,4.40,3.60,"MANUAL jog safe limit；软件 18.0 cm 限位阻止继续到题目 20.0 cm 边界"
2026-07-24,P3,90,JOG_STEP,UP,1.00,18.00,9.04,18.0,ALL,OK,待确认,待确认,1.10,2.80,4.60,2.40,"edge>=17.0 cm 后 Task_ManualJogRunCm 返回 1.00 cm"
2026-07-24,P3,100,JOG_CHAIN_FAIL,LEFT,1.00,18.00,5.98,18.0,M2,TIMEOUT,0,254,1.10,2.70,3.60,6.10,"边缘 1.00 cm 连续段更频繁地下发四电机命令；M2 再次无应答；随后一次 stop 也 TIMEOUT"
