capture_date,run_id,seq,name,step,total,seg,seg_total,from_x_cm,from_y_cm,to_x_cm,to_y_cm,dL_m1_cm,dL_m2_cm,dL_m3_cm,dL_m4_cm,cmd_m1_cm,cmd_m2_cm,cmd_m3_cm,cmd_m4_cm,gain_takeup,gain_payout,bal,motor_result,trigger_result,enc_before,enc_after,laser,circle,err,tilt,quality,notes
2026-07-24,RUN2,10,LT-IN1,1,28,1,3,0.00,0.00,-1.33,1.33,0.0747,0.0107,1.6912,-1.6738,0.0747,0.0107,1.6912,1.6738,1.0000,1.0000,0,"[OK,OK,OK,OK]",OK,"[0,0,0,0]","[81,-12,1846,1827]","(-1.40,1.70)","(0.00,0.00)","(-1.40,1.70)","(0.00,0.00)",GOOD,"PATROL SEG DATA"
2026-07-24,RUN2,11,LT-IN1,1,28,2,3,-1.33,1.33,-2.67,2.67,0.1597,0.0960,1.7067,-1.6541,0.1597,0.0960,1.7067,1.6541,1.0000,1.0000,0,"[OK,OK,OK,OK]",OK,"[81,-12,1846,1827]","[256,-117,3709,3632]","(-2.80,3.00)","(0.00,0.00)","(-2.80,3.00)","(0.13,-0.23)",GOOD,"PATROL SEG DATA"
2026-07-24,RUN2,12,LT-IN1,1,28,3,3,-2.67,2.67,-4.00,4.00,0.2437,0.1808,1.7205,-1.6317,0.2437,0.1808,1.7205,1.6317,1.0000,1.0000,0,"[OK,OK,OK,OK]",OK,"[256,-117,3709,3632]","[522,-314,5587,5413]","(-4.30,4.60)","(0.00,0.00)","(-4.30,4.60)","(0.28,-0.45)",GOOD,"PATROL SEG DATA"
2026-07-24,RUN2,13,LT-IN2,2,28,1,3,-4.00,4.00,-5.33,5.33,0.3262,0.2645,1.7327,-1.6062,0.3262,0.2645,1.7327,1.6062,1.0000,1.0000,0,"[OK,OK,OK,OK]",OK,"[522,-314,5587,5413]","[878,-603,7478,7166]","(-5.90,6.40)","(0.00,0.00)","(-5.90,6.40)","(0.43,-0.68)",GOOD,"PATROL SEG DATA"
2026-07-24,RUN2,14,LT-IN2,2,28,2,3,-5.33,5.33,-6.67,6.67,0.4069,0.3466,1.7438,-1.5770,0.4069,0.3466,1.7438,1.5770,1.0000,1.0000,0,"[OK,OK,OK,OK]",OK,"[878,-603,7478,7166]","[1322,-981,9381,8888]","(-7.30,7.90)","(0.00,0.00)","(-7.30,7.90)","(0.59,-0.94)",GOOD,"PATROL SEG DATA"
2026-07-24,RUN2,15,LT-IN2,2,28,3,3,-6.67,6.67,-8.00,8.00,0.4852,0.4267,1.7537,-1.5435,0.4852,0.4267,1.7537,1.5435,1.0000,1.0000,0,"[OK,OK,OK,OK]",OK,"[1322,-981,9381,8888]","[1852,-1447,11295,10573]","(-8.60,10.00)","(0.00,0.00)","(-8.60,10.00)","(0.71,-1.00)",GOOD,"PATROL SEG DATA"
2026-07-24,RUN2,16,LT-APP,3,28,1,5,-8.00,8.00,-8.80,8.70,0.2462,0.3351,0.9895,-0.8500,0.2462,0.3351,0.9895,0.8500,1.0000,1.0000,0,"[OK,OK,OK,OK]",OK,"[1852,-1447,11295,10573]","[2121,-1813,12375,11501]","(-9.30,11.20)","(0.00,0.00)","(-9.30,11.20)","(0.77,-1.00)",GOOD,"PATROL SEG DATA"
2026-07-24,RUN2,17,LT-APP,3,28,2,5,-8.80,8.70,-9.60,9.40,0.2706,0.3585,0.9923,-0.8365,0.2706,0.3585,0.9923,0.8365,1.0000,1.0000,0,"[OK,OK,OK,OK]",OK,"[2121,-1813,12375,11501]","[2416,-2204,13458,12414]","(-9.90,12.10)","(0.00,0.00)","(-9.90,12.10)","(0.85,-1.00)",GOOD,"PATROL SEG DATA"
2026-07-24,RUN2,18,LT-APP,3,28,3,5,-9.60,9.40,-10.40,10.10,0.2946,0.3812,0.9950,-0.8218,0.2946,0.3812,0.9950,0.8218,1.0000,1.0000,0,"[OK,OK,OK,OK]",OK,"[2416,-2204,13458,12414]","[2737,-2620,14544,13311]","(-10.60,13.10)","(0.00,0.00)","(-10.60,13.10)","(0.93,-1.00)",GOOD,"PATROL SEG DATA"
2026-07-24,RUN2,19,LT-APP,3,28,4,5,-10.40,10.10,-11.20,10.80,0.3181,0.4034,0.9975,-0.8059,0.3181,0.4034,0.9975,0.8059,1.0000,1.0000,0,"[OK,OK,TIMEOUT,FRAME_BAD]",FRAME_BAD,"[2737,-2620,14544,13311]","[2737,-2620,14545,13311]","(-10.70,13.20)","(0.00,0.00)","(-10.70,13.20)","(0.94,-1.00)",COMM_FAIL,"M3 rx=03 10 00 F0 DB; rx_len=5 expect=8; M4 not attempted"
2026-07-24,RUN2,MANUAL-M4-FRAME,LEFT,NA,NA,NA,NA,-10.98,14.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0000,1.0000,NA,FRAME_BAD,NA,"[11965,-416,24056,18967]",NA,"(0.50,1.90)","(-5.10,-4.90)","(5.60,6.80)","(-1.00,-0.76)",COMM_FAIL,"rx=00 05 00 6C; this is M4 response suffix; PC0-PC3 then locked"
