capture_date,run_id,seq,name,step,total,seg,seg_total,from_x_cm,from_y_cm,to_x_cm,to_y_cm,dL_m1_cm,dL_m2_cm,dL_m3_cm,dL_m4_cm,cmd_m1_cm,cmd_m2_cm,cmd_m3_cm,cmd_m4_cm,gain_takeup,gain_payout,bal,motor_result,trigger_result,enc_before,enc_after,laser,circle,err,tilt,quality,notes
2026-07-24,V7-PATROL,10,LT-IN1,1,28,1,3,0.00,0.00,-1.33,1.33,0.0747,0.0107,1.6912,-1.6738,0.0755,0.0108,1.7081,1.6571,0.9900,1.0100,0,"[OK,OK,OK,OK]",OK,"[0,0,0,0]","[81,-12,1864,1808]","(-1.80,1.70)","(0.00,0.00)","(-1.80,1.70)","(0.00,0.00)",GOOD,"PATROL SEG DATA; release<=2.0"
2026-07-24,V7-PATROL,11,LT-IN1,1,28,2,3,-1.33,1.33,-2.67,2.67,0.1597,0.0960,1.7067,-1.6541,0.1613,0.0970,1.7238,1.6376,0.9900,1.0100,0,"[OK,OK,OK,OK]",OK,"[81,-12,1864,1808]","[258,-118,3745,3595]","(-3.20,3.10)","(0.00,0.00)","(-3.20,3.10)","(0.13,-0.21)",GOOD,"PATROL SEG DATA; release<=2.0"
2026-07-24,V7-PATROL,12,LT-IN1,1,28,3,3,-2.67,2.67,-4.00,4.00,0.2437,0.1808,1.7205,-1.6317,0.2461,0.1826,1.7377,1.6154,0.9900,1.0100,0,"[OK,OK,OK,OK]",OK,"[258,-118,3745,3595]","[526,-317,5641,5358]","(-4.80,4.80)","(0.00,0.00)","(-4.80,4.80)","(0.29,-0.46)",GOOD,"PATROL SEG DATA; release<=2.0"
2026-07-24,V7-PATROL,13,LT-IN2,2,28,1,3,-4.00,4.00,-5.33,5.33,0.3262,0.2645,1.7327,-1.6062,0.3295,0.2671,1.7501,1.5902,0.9900,1.0100,0,"[OK,OK,OK,OK]",OK,"[526,-317,5641,5358]","[886,-608,7551,7093]","(-6.40,6.60)","(0.00,0.00)","(-6.40,6.60)","(0.44,-0.70)",GOOD,"PATROL SEG DATA; release<=2.0"
2026-07-24,V7-PATROL,14,LT-IN2,2,28,2,3,-5.33,5.33,-6.67,6.67,0.4069,0.3466,1.7438,-1.5770,0.4109,0.3500,1.7612,1.5613,0.9900,1.0100,0,"[OK,OK,OK,OK]",OK,"[886,-608,7551,7093]","[1334,-990,9473,8797]","(-7.90,8.10)","(0.00,0.00)","(-7.90,8.10)","(0.60,-0.94)",GOOD,"PATROL SEG DATA; release<=2.0"
2026-07-24,V7-PATROL,15,LT-IN2,2,28,3,3,-6.67,6.67,-8.00,8.00,0.4852,0.4267,1.7537,-1.5435,0.4901,0.4309,1.7712,1.5281,0.9900,1.0100,0,"[OK,OK,OK,OK]",OK,"[1334,-990,9473,8797]","[1870,-1460,11406,10465]","(-9.10,10.00)","(0.00,0.00)","(-9.10,10.00)","(0.73,-1.00)",GOOD,"PATROL SEG DATA; release<=2.0"
2026-07-24,V7-PATROL,16,LT-APP,3,28,1,5,-8.00,8.00,-8.80,8.70,0.2462,0.3351,0.9895,-0.8500,0.2487,0.3385,0.9994,0.8415,0.9900,1.0100,0,"[OK,OK,OK,OK]",OK,"[1870,-1460,11406,10465]","[2141,-1829,12497,11383]","(-9.90,10.90)","(0.00,0.00)","(-9.90,10.90)","(0.82,-1.00)",GOOD,"PATROL SEG DATA; release<=2.0"
2026-07-24,V7-PATROL,17,LT-APP,3,28,2,5,-8.80,8.70,-9.60,9.40,0.2706,0.3585,0.9923,-0.8365,0.2734,0.3621,1.0023,0.8281,0.9900,1.0100,0,"[OK,OK,OK,OK]",OK,"[2141,-1829,12497,11383]","[2438,-2224,13591,12287]","(-10.80,11.80)","(0.00,0.00)","(-10.80,11.80)","(0.92,-1.00)",GOOD,"PATROL SEG DATA; release<=2.0"
2026-07-24,V7-PATROL,18,LT-APP,3,28,3,5,-9.60,9.40,-10.40,10.10,0.2946,0.3812,0.9950,-0.8218,0.2976,0.3850,1.0049,0.8136,0.9900,1.0100,0,"[OK,OK,OK,OK]",OK,"[2438,-2224,13591,12287]","[2763,-2644,14689,13175]","(-11.80,12.70)","(0.00,0.00)","(-11.80,12.70)","(1.00,-1.00)",GOOD,"PATROL SEG DATA; release<=2.0"
2026-07-24,V7-PATROL,19,LT-APP,3,28,4,5,-10.40,10.10,-11.20,10.80,0.3181,0.4034,0.9975,-0.8059,0.3213,0.4075,1.0075,0.7979,0.9900,1.0100,0,"[OK,OK,OK,OK]",OK,"[2763,-2644,14689,13175]","[3115,-3090,15788,14047]","(-12.60,13.40)","(0.00,0.00)","(-12.60,13.40)","(1.00,-1.00)",GOOD,"PATROL SEG DATA; release<=1.2"
