capture_date,run_id,seq,name,step,total,seg,seg_total,status,complete,from_x_cm,from_y_cm,to_x_cm,to_y_cm,dL_cm,cmd_cm,motor_result,trigger_result,enc_after_0p1deg,laser_cm,circle_cm,err_cm,tilt,quality,notes
2026-07-25,V10-PREARM-RX,5,LT-IN1,1,28,1,3,OK,1,0.00,0.00,-1.33,1.33,"[0.0747,0.0107,1.6912,-1.6738]","[0.0755,0.0108,1.7081,1.6571]","[OK,OK,OK,OK]",OK,"[81,-12,1864,1808]","(-2.10,2.10)","(0.00,0.00)","(-2.10,2.10)","(0.17,-0.32)",GOOD,""
2026-07-25,V10-PREARM-RX,6,LT-IN1,1,28,2,3,OK,1,-1.33,1.33,-2.67,2.67,"[0.1597,0.0960,1.7067,-1.6541]","[0.1613,0.0970,1.7238,1.6376]","[OK,OK,OK,OK]",OK,"[258,-118,3745,3594]","(-3.60,3.90)","(0.00,0.00)","(-3.60,3.90)","(0.34,-0.60)",GOOD,""
2026-07-25,V10-PREARM-RX,7,LT-IN1,1,28,3,3,OK,1,-2.67,2.67,-4.00,4.00,"[0.2437,0.1808,1.7205,-1.6317]","[0.2461,0.1826,1.7377,1.6154]","[OK,OK,OK,OK]",OK,"[526,-317,5641,5358]","(-5.30,5.50)","(0.00,0.00)","(-5.30,5.50)","(0.52,-0.87)",GOOD,""
2026-07-25,V10-PREARM-RX,8,LT-IN2,2,28,1,3,OK,1,-4.00,4.00,-5.33,5.33,"[0.3262,0.2645,1.7327,-1.6062]","[0.3295,0.2671,1.7501,1.5902]","[OK,OK,OK,OK]",OK,"[886,-608,7551,7092]","(-6.90,7.30)","(0.00,0.00)","(-6.90,7.30)","(0.70,-1.00)",GOOD,""
2026-07-25,V10-PREARM-RX,9,LT-IN2,2,28,2,3,OK,1,-5.33,5.33,-6.67,6.67,"[0.4069,0.3466,1.7438,-1.5770]","[0.4109,0.3500,1.7612,1.5613]","[OK,OK,OK,OK]",OK,"[1334,-990,9473,8796]","(-8.10,8.90)","(0.00,0.00)","(-8.10,8.90)","(0.85,-1.00)",GOOD,""
2026-07-25,V10-PREARM-RX,10,LT-IN2,2,28,3,3,OK,1,-6.67,6.67,-8.00,8.00,"[0.4852,0.4267,1.7537,-1.5435]","[0.4901,0.4309,1.7712,1.5281]","[OK,OK,OK,OK]",OK,"[1869,-1460,11406,10465]","(-9.60,11.40)","(0.00,0.00)","(-9.60,11.40)","(0.97,-1.00)",GOOD,""
2026-07-25,V10-PREARM-RX,11,LT-APP,3,28,1,5,OK,1,-8.00,8.00,-8.80,8.70,"[0.2462,0.3351,0.9895,-0.8500]","[0.2487,0.3385,0.9994,0.8415]","[OK,OK,OK,OK]",OK,"[2140,-1829,12497,11383]","(-10.10,12.70)","(0.00,0.00)","(-10.00,12.70)","(1.00,-1.00)",GOOD,""
2026-07-25,V10-PREARM-RX,12,LT-APP,3,28,2,5,OK,1,-8.80,8.70,-9.60,9.40,"[0.2706,0.3585,0.9923,-0.8365]","[0.2734,0.3621,1.0023,0.8281]","[OK,OK,OK,OK]",OK,"[2438,-2224,13591,12287]","(-10.80,13.70)","(0.00,0.00)","(-10.80,13.70)","(1.00,-1.00)",GOOD,""
2026-07-25,V10-PREARM-RX,13,LT-APP,3,28,3,5,OK,1,-9.60,9.40,-10.40,10.10,"[0.2946,0.3812,0.9950,-0.8218]","[0.2976,0.3850,1.0049,0.8136]","[OK,OK,OK,OK]",OK,"[2763,-2644,14688,13175]","(-11.80,14.30)","(0.00,0.00)","(-11.80,14.30)","(1.00,-1.00)",GOOD,""
2026-07-25,V10-PREARM-RX,14,LT-APP,3,28,4,5,OK,1,-10.40,10.10,-11.20,10.80,"[0.3181,0.4034,0.9975,-0.8059]","[0.3213,0.4075,1.0075,0.7979]","[OK,OK,OK,OK]",OK,"[3114,-3089,15787,14046]","(-13.70,15.30)","(0.00,0.00)","(-13.70,15.30)","(1.00,-1.00)",GOOD,""
2026-07-25,V10-PREARM-RX,15,LT-APP,3,28,5,5,OK,1,-11.20,10.80,-12.00,11.50,"[0.3411,0.4250,0.9998,-0.7886]","[0.3445,0.4292,1.0098,0.7807]","[OK,OK,OK,OK]",OK,"[3490,-3557,16889,14898]","(-11.00,18.00)","(-20.00,20.00)","(9.00,-2.00)","(-0.94,0.31)",GOOD,""
