capture_date,run_id,event,step,segment,seq,status,soft_x_cm,soft_y_cm,from_x_cm,from_y_cm,to_x_cm,to_y_cm,dL_m1_cm,dL_m2_cm,dL_m3_cm,dL_m4_cm,cmd_m1_cm,cmd_m2_cm,cmd_m3_cm,cmd_m4_cm,enc,laser,circle,err,tilt,motor_result,trigger_result,quality,notes
2026-07-25,v11-run7,boot,,,,OK,,,,,,,,,,,,,,,,,,,,,,"marker=Q2-CAL-JOG-v11-M2-GAP"
2026-07-25,v11-run7,recovery_key0,,,,OK,0.00,0.00,,,,,,,,,,,,,"[0,0,0,0]","(-0.10,0.20)","center","(-0.20,0.20)","(0.00,0.00)",OK,OK,GOOD,"KEY0 returned cur=[257,-117,3745,3595] to zero and unlocked PC0-PC3"
2026-07-25,v11-run7,patrol_bus_pace,,,,OK,,,,,,,,,,,,,,,,,,,,,,"write_gap=160ms m2_pre=120ms m2_post=80ms encoder_gap=80ms post_read_quiet=120ms"
2026-07-25,v11-run7,segment_range_ok,1-14,,10-79,OK,,,,,,,,,,,,,,,,,,,,GOOD,"All patrol segments from LT-IN1 through CENTER-RT completed; latest failure was not a patrol segment move"
2026-07-25,v11-run7,calibration_LT,4,,29,OK,-17.75,15.07,,,,,,,,,,,,,"[5438,-7927,23801,19557]","(-19.60,19.40)","(-20.00,20.00)","(0.40,-0.60)","(-0.07,0.09)",OK,OK,GOOD,"PATROL CAL LT n=1"
2026-07-25,v11-run7,node_CENTER_LT,7,,43,OK,0.00,0.00,,,,,,,,,,,,,"[113,-156,471,-394]","(-0.10,-0.40)","(0.00,0.00)","(-0.10,-0.40)","(0.00,0.10)",OK,OK,GOOD,"center reset after CENTER-LT succeeded"
2026-07-25,v11-run7,calibration_RT,11,,64,OK,17.45,18.54,,,,,,,,,,,,,"[26170,21076,8954,-6840]","(19.50,19.50)","(20.00,20.00)","(-0.40,-0.60)","(0.03,0.00)",OK,OK,GOOD,"PATROL CAL RT n=1"
2026-07-25,v11-run7,node_CENTER_RT,14,,79,OK,0.00,0.00,,,,,,,,,,,,,"[517,-437,176,-133]","(2.50,2.10)","(0.00,0.00)","(2.50,2.10)","(-0.31,-0.45)",OK,OK,GOOD,"encoder/soft center still visually offset; visual fine zero required"
2026-07-25,v11-run7,auto_zero_center_rt_k0,,,"",OK,,,"2.50","2.10","2.30","1.93","-0.24","0.23","-0.00","-0.04","0.24","0.23","0.00","0.04",,,"center",,,OK,OK,GOOD,"nohome visual fine zero after CENTER-RT"
2026-07-25,v11-run7,auto_zero_center_rt_k1,,,"",OK,,,"2.40","2.10","2.26","1.98","-0.17","0.16","-0.01","-0.02","0.17","0.16","0.01","0.02",,,"center",,,OK,OK,GOOD,"nohome visual fine zero after CENTER-RT"
2026-07-25,v11-run7,auto_zero_center_rt_k2,,,"",OK,,,"2.30","2.00","2.26","1.97","-0.04","0.04","-0.00","-0.01","0.04","0.04","0.00","0.01",,,"center",,,OK,OK,GOOD,"nohome visual fine zero after CENTER-RT"
2026-07-25,v11-run7,auto_zero_center_rt_k3,,,"",OK,,,"2.30","2.00","2.26","1.97","-0.04","0.04","-0.00","-0.01","0.04","0.04","0.00","0.01",,,"center",,,OK,OK,GOOD,"nohome visual fine zero after CENTER-RT"
2026-07-25,v11-run7,auto_zero_center_rt_k4,,,"",TIMEOUT,,,"2.20","2.00","1.83","1.66","-0.45","0.44","-0.02","-0.05","0.45","0.44","0.02","0.05",,,"center",,,[OK,TIMEOUT,FRAME_BAD,FRAME_BAD],FRAME_BAD,COMM_FAIL,"M2 addr=2 func=0x10 rx_len=0 expect=8 elapsed=402ms tx=02 10 00 F0 00 05 0A 00 01 01 22 01 DE 00 00 02 01 A6 C4"
2026-07-25,v11-run7,abort_after_center_reset,14,,,"ABORT",0.00,0.00,,,,,,,,,,,,,,"(0.50,1.80)","(-1.70,-0.20)","(2.20,2.00)","(0.03,0.00)",TIMEOUT,,COMM_FAIL,"PATROL auto zero abort: visual fine zero failed; CAL LT n=1 RT n=1 RB/LB n=0"
