date,run,event,seq,name,step,total,seg,total_seg,status,from_x_cm,from_y_cm,to_x_cm,to_y_cm,dL_cm,cmd_cm,gain,motor_result,trigger_result,enc_before_0p1deg,enc_after_0p1deg,denc_0p1deg,laser_cm,circle_cm,err_cm,tilt,quality,notes
2026-07-25,v12-retry1-run13,start,,,,,,,,,,,,,,,,,,,,,,,,,"boot=Q2-CAL-JOG-v12-ZERO-RECOVER-RETRY1; center=40@60; balance=OFF; path gain(T=0.99 P=1.01); vmax=300; write_gap=160ms nohome_gap=160ms m2_pre=120ms m2_post=80ms encoder_gap=80ms post_read_quiet=120ms"
2026-07-25,v12-retry1-run13,segment,5,LT-IN1,1,28,1,3,OK,0.00,0.00,-1.33,1.33,"[0.0747,0.0107,1.6912,-1.6738]","[0.0755,0.0108,1.7081,1.6571]","[1.0100,1.0100,1.0100,0.9900]","[OK,OK,OK,OK]",OK,"[0,0,0,0]","[81,-12,1864,1807]","[81,-12,1864,1807]","(-2.00,2.20)","(0.00,0.00)","(-2.00,2.20)","(0.20,-0.38)",GOOD,"circle_id=0; soft after segment=(-1.33,1.33)"
2026-07-25,v12-retry1-run13,segment,6,LT-IN1,1,28,2,3,OK,-1.33,1.33,-2.67,2.67,"[0.1597,0.0960,1.7067,-1.6541]","[0.1613,0.0970,1.7238,1.6376]","[1.0100,1.0100,1.0100,0.9900]","[OK,OK,OK,OK]",OK,"[81,-12,1864,1807]","[258,-118,3745,3595]","[177,-106,1881,1788]","(-3.80,4.40)","(0.00,0.00)","(-3.80,4.40)","(0.43,-0.79)",GOOD,"circle_id=0"
2026-07-25,v12-retry1-run13,segment,7,LT-IN1,1,28,3,3,OK,-2.67,2.67,-4.00,4.00,"[0.2437,0.1808,1.7205,-1.6317]","[0.2461,0.1826,1.7377,1.6154]","[1.0100,1.0100,1.0100,0.9900]","[OK,OK,OK,OK]",OK,"[258,-118,3745,3595]","[527,-317,5641,5358]","[269,-199,1896,1763]","(-5.30,6.10)","(0.00,0.00)","(-5.40,6.20)","(0.64,-1.00)",GOOD,"PATROL NODE LT-IN1 soft=(-4.00,4.00) enc=[527,-317,5641,5358]"
2026-07-25,v12-retry1-run13,segment,8,LT-IN2,2,28,1,3,OK,-4.00,4.00,-5.33,5.33,"[0.3262,0.2645,1.7327,-1.6062]","[0.3295,0.2671,1.7501,1.5902]","[1.0100,1.0100,1.0100,0.9900]","[OK,OK,OK,OK]",OK,"[527,-317,5641,5358]","[887,-608,7552,7092]","[360,-291,1911,1734]","(-5.50,12.20)","(0.00,0.00)","(-5.50,12.20)","(0.50,-1.00)",GOOD,"circle_id=0"
2026-07-25,v12-retry1-run13,segment,9,LT-IN2,2,28,2,3,OK,-5.33,5.33,-6.67,6.67,"[0.4069,0.3466,1.7438,-1.5770]","[0.4109,0.3500,1.7612,1.5613]","[1.0100,1.0100,1.0100,0.9900]","[OK,OK,OK,OK]",OK,"[887,-608,7552,7092]","[1335,-991,9470,8798]","[448,-383,1918,1706]","(-7.80,10.10)","(0.00,0.00)","(-7.80,10.10)","(0.86,-1.00)",GOOD,"circle_id=0"
2026-07-25,v12-retry1-run13,segment,10,LT-IN2,2,28,3,3,OK,-6.67,6.67,-8.00,8.00,"[0.4852,0.4267,1.7537,-1.5435]","[0.4901,0.4309,1.7712,1.5281]","[1.0100,1.0100,1.0100,0.9900]","[OK,OK,OK,OK]",OK,"[1335,-991,9470,8798]","[1870,-1460,11403,10466]","[535,-469,1933,1668]","(-9.30,12.10)","(0.00,0.00)","(-9.30,12.10)","(1.00,-1.00)",GOOD,"PATROL NODE LT-IN2 soft=(-8.00,8.00) enc=[1870,-1460,11403,10466]"
2026-07-25,v12-retry1-run13,segment,11,LT-APP,3,28,1,5,OK,-8.00,8.00,-8.80,8.70,"[0.2462,0.3351,0.9895,-0.8500]","[0.2487,0.3385,0.9994,0.8415]","[1.0100,1.0100,1.0100,0.9900]","[OK,OK,OK,OK]",OK,"[1870,-1460,11403,10466]","[2141,-1829,12494,11384]","[271,-369,1091,918]","(-10.30,14.10)","(0.00,0.00)","(-10.30,14.10)","(1.00,-1.00)",GOOD,"circle_id=0"
2026-07-25,v12-retry1-run13,segment,12,LT-APP,3,28,2,5,OK,-8.80,8.70,-9.60,9.40,"[0.2706,0.3585,0.9923,-0.8365]","[0.2734,0.3621,1.0023,0.8281]","[1.0100,1.0100,1.0100,0.9900]","[OK,OK,OK,OK]",OK,"[2141,-1829,12494,11384]","[2439,-2224,13588,12288]","[298,-395,1094,904]","(-7.80,17.20)","(-20.00,20.00)","(12.20,-2.80)","(-1.00,0.40)",GOOD,"circle seen LT target while still APP"
2026-07-25,v12-retry1-run13,segment,13,LT-APP,3,28,3,5,OK,-9.60,9.40,-10.40,10.10,"[0.2946,0.3812,0.9950,-0.8218]","[0.2976,0.3850,1.0049,0.8136]","[1.0100,1.0100,1.0100,0.9900]","[OK,OK,OK,OK]",OK,"[2439,-2224,13588,12288]","[2765,-2644,14685,13176]","[326,-420,1097,888]","(-8.70,18.20)","(-20.00,20.00)","(11.30,-1.80)","(-1.00,0.26)",GOOD,"circle seen LT target"
2026-07-25,v12-retry1-run13,segment,14,LT-APP,3,28,4,5,OK,-10.40,10.10,-11.20,10.80,"[0.3181,0.4034,0.9975,-0.8059]","[0.3213,0.4075,1.0075,0.7979]","[1.0100,1.0100,1.0100,0.9900]","[OK,OK,OK,OK]",OK,"[2765,-2644,14685,13176]","[3115,-3089,15785,14047]","[350,-445,1100,871]","(-9.70,19.30)","(-20.00,20.00)","(10.30,-0.70)","(-1.00,0.11)",GOOD,"release<=1.20"
2026-07-25,v12-retry1-run13,segment,15,LT-APP,3,28,5,5,OK,-11.20,10.80,-12.00,11.50,"[0.3411,0.4250,0.9998,-0.7886]","[0.3445,0.4292,1.0098,0.7807]","[1.0100,1.0100,1.0100,0.9900]","[OK,OK,OK,OK]",OK,"[3115,-3089,15785,14047]","[3491,-3557,16886,14899]","[376,-468,1101,852]","(-10.80,20.10)","(-20.00,20.00)","(9.20,0.10)","(-1.00,0.00)",GOOD,"PATROL NODE LT-APP soft=(-12.00,11.50) enc=[3491,-3557,16886,14899]"
2026-07-25,v12-retry1-run13,segment,16,LT,4,28,1,5,OK,-12.00,11.50,-12.80,12.20,"[0.3636,0.4460,1.0021,-0.7698]","[0.3672,0.4504,1.0121,0.7621]","[1.0100,1.0100,1.0100,0.9900]","[OK,OK,OK,OK]",OK,"[3491,-3557,16886,14899]","[3892,-4049,17991,15731]","[401,-492,1105,832]","(-12.00,20.70)","(-20.00,20.00)","(8.00,0.70)","(-0.90,-0.11)",GOOD,"circle_id=1 target LT"
2026-07-25,v12-retry1-run13,segment,17,LT,4,28,2,5,OK,-12.80,12.20,-13.60,12.90,"[0.3855,0.4663,1.0042,-0.7494]","[0.3893,0.4710,1.0143,0.7419]","[1.0100,1.0100,1.0100,0.9900]","[OK,OK,OK,OK]",OK,"[3892,-4049,17991,15731]","[4317,-4563,19099,16541]","[425,-514,1108,810]","(-13.30,21.50)","(-20.00,20.00)","(6.70,1.50)","(-0.77,-0.22)",GOOD,"circle_id=1 target LT"
2026-07-25,v12-retry1-run13,segment,18,LT,4,28,3,5,OK,-13.60,12.90,-14.40,13.60,"[0.4069,0.4861,1.0063,-0.7271]","[0.4109,0.4909,1.0163,0.7199]","[1.0100,1.0100,1.0100,0.9900]","[OK,OK,OK,OK]",OK,"[4317,-4563,19099,16541]","[4765,-5099,20208,17327]","[448,-536,1109,786]","(-14.50,22.00)","(-20.00,20.00)","(5.50,2.00)","(-0.63,-0.31)",GOOD,"circle_id=1 target LT"
2026-07-25,v12-retry1-run13,segment,19,LT,4,28,4,5,OK,-14.40,13.60,-15.20,14.30,"[0.4277,0.5052,1.0082,-0.7029]","[0.4320,0.5103,1.0183,0.6959]","[1.0100,1.0100,1.0100,0.9900]","[OK,OK,OK,OK]",OK,"[4765,-5099,20208,17327]","[5237,-5657,21319,18086]","[472,-558,1111,759]","(-16.00,22.50)","(-20.00,20.00)","(4.00,2.50)","(-0.49,-0.39)",GOOD,"circle_id=1 target LT"
