date,run,event,seq,name,step,total,seg,total_seg,status,from_x_cm,from_y_cm,to_x_cm,to_y_cm,dL_cm,cmd_cm,gain,motor_result,trigger_result,enc_before_0p1deg,enc_after_0p1deg,denc_0p1deg,laser_cm,circle_cm,err_cm,tilt,quality,notes
2026-07-25,v12-run12,start,,,,,,,,,,,,,,,,,,,,,,,,,"PATROL start; center=40@60; balance=OFF; path gain(T=0.99 P=1.01); write_gap=160ms nohome_gap=160ms m2_pre=120ms m2_post=80ms encoder_gap=80ms post_read_quiet=120ms"
2026-07-25,v12-run12,node,,LT-IN1,1,28,,,,,,,,"",,,,"",,"[527,-317,5641,5358]",,"(-5.30,5.70)","(0.00,0.00)","(-5.30,5.70)","(0.60,-0.97)",GOOD,"soft=(-4.00,4.00); circle_id=0"
2026-07-25,v12-run12,node,,LT-IN2,2,28,,,,,,,,"",,,,"",,"[1869,-1460,11406,10465]",,"(-9.70,11.00)","(0.00,0.00)","(-9.70,11.00)","(1.00,-1.00)",GOOD,"soft=(-8.00,8.00); circle_id=0"
2026-07-25,v12-run12,node,,LT-APP,3,28,,,,,,,,"",,,,"",,"[3490,-3557,16889,14898]",,"(-11.90,18.00)","(-20.00,20.00)","(8.10,-2.00)","(-0.88,0.29)",GOOD,"soft=(-12.00,11.50); circle_id=0"
2026-07-25,v12-run12,node,,LT,4,28,,,,,,,,"",,,,"",,"[5729,-6233,22435,18816]",,"(-18.60,21.30)","(-20.00,20.00)","(1.40,1.30)","(-0.16,-0.21)",GOOD,"soft=(-16.00,15.00); circle_id=1; fine follows"
2026-07-25,v12-run12,segment,23,LT,4,28,1,1,OK,-16.00,15.00,-16.33,14.69,"[-0.3410,0.3682,0.0175,0.0200]","[0.3376,0.3719,0.0177,0.0202]","[0.9900,1.0100,1.0100,1.0100]","[OK,OK,OK,OK]",OK,"[5729,-6233,22435,18816]","[5361,-6639,22454,18794]","[-368,-406,19,-22]","(-19.40,20.30)","(-20.00,20.00)","(0.60,0.30)","(-0.08,-0.07)",GOOD,"fine=1 release<=1.20"
2026-07-25,v12-run12,calibration,,LT,4,28,,,,,,,,,,,,,,"[5361,-6639,22454,18794]",,"(-19.40,20.40)","(-20.00,20.00)","(0.60,0.40)","(-0.08,-0.07)",GOOD,"PATROL CAL LT n=1 soft=(-16.33,14.69) err=(0.60,0.40) enc_n=1"
2026-07-25,v12-run12,node,,LT-OUT1,5,28,,,,,,,,"",,,,"",,"[1945,-1564,11624,10298]",,"(-9.00,11.40)","(-20.00,20.00)","(11.00,-8.60)","(-1.00,1.00)",GOOD,"soft=(-8.00,8.00); circle_id=0"
2026-07-25,v12-run12,node,,LT-OUT2,6,28,,,,,,,,"",,,,"",,"[629,-442,5973,5088]",,"(-5.70,6.10)","(0.00,0.00)","(-5.70,6.10)","(0.67,-1.00)",GOOD,"soft=(-4.00,4.00); circle_id=0"
2026-07-25,v12-run12,segment,34,CENTER-LT,7,28,1,3,OK,-4.00,4.00,-2.67,2.67,"[-0.2437,-0.1808,-1.7205,1.6317]","[0.2412,0.1790,1.7032,1.6481]","[0.9900,0.9900,0.9900,1.0100]","[OK,OK,OK,OK]",OK,"[629,-442,5973,5088]","[366,-247,4114,3289]","[-263,195,-1859,-1799]","(-4.00,4.30)","(0.00,0.00)","(-4.00,4.30)","(0.45,-0.79)",GOOD,"return to center after LT"
2026-07-25,v12-run12,segment,35,CENTER-LT,7,28,2,3,OK,-2.67,2.67,-1.33,1.33,"[-0.1597,-0.0960,-1.7067,1.6541]","[0.1581,0.0951,1.6896,1.6706]","[0.9900,0.9900,0.9900,1.0100]","[OK,OK,OK,OK]",OK,"[366,-247,4114,3289]","[193,-143,2270,1467]","[-173,104,-1844,-1822]","(-1.80,1.70)","(0.00,0.00)","(-1.80,1.70)","(0.20,-0.33)",GOOD,"return to center after LT"
2026-07-25,v12-run12,segment,36,CENTER-LT,7,28,3,3,TIMEOUT,-1.33,1.33,0.00,0.00,"[-0.0747,-0.0107,-1.6912,1.6738]","[0.0740,0.0106,1.6743,1.6905]","[0.9900,0.9900,0.9900,1.0100]","[OK,OK,TIMEOUT,FRAME_BAD]",FRAME_BAD,"[193,-143,2270,1467]","[193,-143,2270,1466]","[0,0,0,-1]","(-1.80,1.70)","(0.00,0.00)","(-1.80,1.70)","(0.20,-0.32)",COMM_FAIL,"M3 addr=3 func=0x10 tx_len=19 rx_len=0 expect=8 elapsed=402ms tx=03 10 00 F0 00 05 0A 00 01 01 29 07 23 00 00 02 01 20 26 rx=; trigger_attempted=0 attempted=0x07 failed_m=3; abort at waypoint 7/28"
2026-07-25,v12-run12,cal_table,,LT,,,,,OK,,,,,,,,,,,"[5361,-6639,22454,18794]",,"",,"(0.60,0.40)","(-0.08,-0.07)",GOOD,"LT n=1 soft_avg=(-16.33,14.69); RT/RB/LB n=0"
