category,item,field,value,unit,source,status,notes
firmware,boot_marker,value,Q2-CAL-JOG-v15-AUTO-RELAX,version,serial,confirmed,"V15 retry_relax=ON max=2"
profile,LT,takeup,"[1.03,1.03,1.03,1.03]",gain,serial,confirmed,"LT-TIGHT"
profile,LT,payout,"[0.97,0.97,0.97,0.97]",gain,serial,confirmed,"LT-TIGHT"
profile,RT,takeup,"[0.98,0.95,0.98,0.98]",gain,serial,confirmed,"RT-SOFT"
profile,RT,payout,"[1.02,1.00,1.02,1.02]",gain,serial,confirmed,"RT-SOFT"
profile,RB,takeup,"[1.00,1.00,0.99,1.00]",gain,serial,confirmed,"RB-M4-HOLD"
profile,RB,payout,"[1.02,1.02,1.00,0.96]",gain,serial,confirmed,"RB-M4-HOLD"
failure,first_abort,waypoint,3,count,serial,confirmed,"LT-APP"
failure,first_abort,segment,2/5,count,serial,confirmed,"from=(-8.80,8.70) to=(-9.60,9.40)"
failure,first_abort,motor,3,index,serial,confirmed,"M3 buffered write TIMEOUT"
failure,first_abort,result,TIMEOUT,status,serial,confirmed,"addr=3 func=0x10 rx_len=0 expect=8 elapsed=402ms"
failure,first_abort,attempted,0x07,mask,serial,confirmed,"M1/M2 attempted OK; M3 TIMEOUT; M4 not valid"
failure,first_abort,trigger_attempted,0,boolean,serial,confirmed,"synchronous trigger not executed"
failure,first_abort,soft,"(-8.80,8.70)",cm,serial,confirmed,"failed segment start soft"
failure,first_abort,laser,"(-11.10,10.40)",cm,serial,confirmed,"PATROL RECOVERY VISION"
failure,first_abort,circle,"(0.00,0.00)",cm,serial,confirmed,"saw center circle"
failure,first_abort,err,"(-11.10,10.40)",cm,serial,confirmed,"laser-circle"
failure,first_abort,tilt,"(0.94,-1.00)",tilt,serial,confirmed,"fresh at failure"
recovery,first,retry,1/2,count,serial,confirmed,"V15 recovered after waypoint 3/28"
recovery,first,corner,LT,enum,serial,confirmed,"resume=1/28 LT-IN1"
recovery,first,relax,"[0,0,0,0]",0.1deg,serial,confirmed,"PATROL retry relax skip corner=LT reason=profile-no-extra-loosen"
recovery,first,return_start_enc,"[2077,-1775,12122,11726]",0.1deg,serial,confirmed,"motor return before visual fine zero"
failure,second_abort,waypoint,2,count,serial,confirmed,"LT-IN2"
failure,second_abort,segment,3/3,count,serial,confirmed,"from=(-6.67,6.67) to=(-8.00,8.00)"
failure,second_abort,motor,2,index,serial,confirmed,"M2 buffered write TIMEOUT"
failure,second_abort,result,TIMEOUT,status,serial,confirmed,"addr=2 func=0x10 rx_len=0 expect=8 elapsed=401ms"
failure,second_abort,attempted,0x03,mask,serial,confirmed,"M1 attempted OK; M2 TIMEOUT; M3/M4 FRAME_BAD placeholders"
failure,second_abort,trigger_attempted,0,boolean,serial,confirmed,"synchronous trigger not executed"
failure,second_abort,soft,"(-6.67,6.67)",cm,serial,confirmed,"failed segment start soft"
failure,second_abort,laser,"(-5.70,11.30)",cm,serial,confirmed,"PATROL RECOVERY VISION"
failure,second_abort,circle,"(0.00,0.00)",cm,serial,confirmed,"saw center circle"
failure,second_abort,err,"(-5.70,11.20)",cm,serial,confirmed,"laser-circle"
failure,second_abort,tilt,"(0.50,-1.00)",tilt,serial,confirmed,"fresh at failure"
recovery,second,retry,2/2,count,serial,confirmed,"V15 recovered after waypoint 2/28"
recovery,second,corner,LT,enum,serial,confirmed,"resume=1/28 LT-IN1"
recovery,second,relax,"[0,0,0,0]",0.1deg,serial,confirmed,"PATROL retry relax skip corner=LT reason=profile-no-extra-loosen"
recovery,second,return_start_enc,"[1296,-960,9189,9062]",0.1deg,serial,confirmed,"motor return before visual fine zero"
failure,final_abort,waypoint,3,count,serial,confirmed,"LT-APP after retry limit reached"
failure,final_abort,segment,1/5,count,serial,confirmed,"from=(-8.00,8.00) to=(-8.80,8.70)"
failure,final_abort,motor,2,index,serial,confirmed,"M2 buffered write TIMEOUT"
failure,final_abort,result,TIMEOUT,status,serial,confirmed,"addr=2 func=0x10 rx_len=0 expect=8 elapsed=401ms"
failure,final_abort,attempted,0x03,mask,serial,confirmed,"M1 attempted OK; M2 TIMEOUT"
failure,final_abort,trigger_attempted,0,boolean,serial,confirmed,"synchronous trigger not executed"
failure,final_abort,soft,"(-8.00,8.00)",cm,serial,confirmed,"abort after retry limit"
failure,final_abort,laser,"(-7.40,12.60)",cm,serial,confirmed,"COMM_FAIL segment data"
failure,final_abort,circle,"(0.00,0.00)",cm,serial,confirmed,"saw center circle"
failure,final_abort,err,"(-7.40,12.60)",cm,serial,confirmed,"laser-circle"
failure,final_abort,tilt,"(0.64,-1.00)",tilt,serial,confirmed,"fresh at failure"
result,patrol_abort,waypoint,3/28,count,serial,confirmed,"PATROL move recovery limit reached for corner=LT count=2/2"
result,cal_table,LT,0,samples,serial,confirmed,"no circle confirmed in this run"
diagnosis,v15_regression,summary,"V15 recovery loop worsened LT by repeatedly returning to center and re-entering LT without changing LT tension",text,serial+field,confirmed,"User observed behavior degraded; code should return to pre-V15 recovery before further changes"
