date,run,event,seq,name,step,total,seg,total_seg,status,from_x_cm,from_y_cm,to_x_cm,to_y_cm,dL_cm,cmd_cm,gain,motor_result,trigger_result,enc_before_0p1deg,enc_after_0p1deg,denc_0p1deg,laser_cm,circle_cm,err_cm,tilt,quality,notes
2026-07-26,v12-q3-rxsw1-blocking-run16,start,,,,,,,,,,,,,,,,,,,,,,,,,"boot=Q2-CAL-JOG-v12-Q3-RXSW1; USART3 Modbus RX mode=BLOCKING_BYTE; route=LT>RT>RB>LB; center=40@60; path gain(T=0.99 P=1.01); vmax=300; retry max=3"
2026-07-26,v12-q3-rxsw1-blocking-run16,segment,1,LT-IN1,1,16,1,3,OK,0.00,0.00,-1.33,1.33,"[0.0747,0.0107,1.6912,-1.6738]","[0.0755,0.0108,1.7081,1.6571]","[1.0100,1.0100,1.0100,0.9900]","[OK,OK,OK,OK]",OK,"[0,0,0,0]","[81,-12,1864,1808]","[81,-12,1864,1808]","(-1.80,1.30)","(0.00,0.00)","(-1.80,1.30)","(0.13,-0.23)",GOOD,"first LT attempt"
2026-07-26,v12-q3-rxsw1-blocking-run16,segment,2,LT-IN1,1,16,2,3,OK,-1.33,1.33,-2.67,2.67,"[0.1597,0.0960,1.7067,-1.6541]","[0.1613,0.0970,1.7238,1.6376]","[1.0100,1.0100,1.0100,0.9900]","[OK,OK,OK,OK]",OK,"[81,-12,1864,1808]","[258,NA,3745,3595]","[177,NA,1881,1787]","(-3.10,2.80)","(0.00,0.00)","(-3.10,2.80)","(0.26,-0.46)",ENC_PARTIAL,"M2 encoder read TIMEOUT; addr=2 func=0x03 tx_len=8 rx_len=0 expect=11 elapsed=403ms; tx=02 03 00 46 00 03 E4 2D; rx="
2026-07-26,v12-q3-rxsw1-blocking-run16,segment,3,LT-IN1,1,16,3,3,OK,-2.67,2.67,-4.00,4.00,"[0.2437,0.1808,1.7205,-1.6317]","[0.2461,0.1826,1.7377,1.6154]","[1.0100,1.0100,1.0100,0.9900]","[OK,OK,OK,OK]",OK,"[258,NA,3745,3595]","[526,-317,5641,5358]","[268,NA,1896,1763]","(-4.50,4.60)","(0.00,0.00)","(-4.50,4.60)","(0.40,-0.71)",GOOD,"PATROL NODE LT-IN1 soft=(-4.00,4.00); prior M2 encoder value remains NA"
2026-07-26,v12-q3-rxsw1-blocking-run16,segment,4,LT-IN2,2,16,1,3,OK,-4.00,4.00,-5.33,5.33,"[0.3262,0.2645,1.7327,-1.6062]","[0.3295,0.2671,1.7501,1.5902]","[1.0100,1.0100,1.0100,0.9900]","[OK,OK,OK,OK]",OK,"[526,-317,5641,5358]","[886,-608,7551,7093]","[360,-291,1910,1735]","(-5.60,6.70)","(0.00,0.00)","(-5.60,6.70)","(0.50,-1.00)",GOOD,
2026-07-26,v12-q3-rxsw1-blocking-run16,segment,5,LT-IN2,2,16,2,3,OK,-5.33,5.33,-6.67,6.67,"[0.4069,0.3466,1.7438,-1.5770]","[0.4109,0.3500,1.7612,1.5613]","[1.0100,1.0100,1.0100,0.9900]","[OK,OK,OK,OK]",OK,"[886,-608,7551,7093]","[1335,-990,9473,8797]","[449,-382,1922,1704]","(-6.50,8.90)","(0.00,0.00)","(-6.50,8.90)","(0.60,-1.00)",GOOD,
2026-07-26,v12-q3-rxsw1-blocking-run16,segment,6,LT-IN2,2,16,3,3,OK,-6.67,6.67,-8.00,8.00,"[0.4852,0.4267,1.7537,-1.5435]","[0.4901,0.4309,1.7712,1.5281]","[1.0100,1.0100,1.0100,0.9900]","[OK,OK,OK,OK]",OK,"[1335,-990,9473,8797]","[1870,-1460,11406,10465]","[535,-470,1933,1668]","(-8.10,10.80)","(0.00,0.00)","(-8.10,10.80)","(0.76,-1.00)",GOOD,"PATROL NODE LT-IN2 soft=(-8.00,8.00)"
2026-07-26,v12-q3-rxsw1-blocking-run16,segment,7,LT-APP,3,16,1,5,TIMEOUT,-8.00,8.00,-8.80,8.70,"[0.2462,0.3351,0.9895,-0.8500]","[0.2487,0.3385,0.9994,0.8415]","[1.0100,1.0100,1.0100,0.9900]","[OK,TIMEOUT,FRAME_BAD,FRAME_BAD]",FRAME_BAD,"[1870,-1460,11406,10465]","[1870,-1460,11406,10465]","[0,0,0,0]","(-8.00,10.60)","(0.00,0.00)","(-8.00,10.60)","(0.76,-1.00)",COMM_FAIL,"M2 buffered 0x10 write TIMEOUT; addr=2 tx_len=19 rx_len=0 expect=8 elapsed=403ms; tx=02 10 00 F0 00 05 0A 00 01 00 65 01 71 00 00 02 01 84 14; rx=; trigger_attempted=0 attempted=0x03 failed_m=2"
2026-07-26,v12-q3-rxsw1-blocking-run16,recovery,,LT-APP,3,16,1,5,OK,,,,,,,,,,,,,,,,,GOOD,"retry=1/3; stop all; wait 800ms; encoder return; visual zero; encoder baseline reset; restart LT from center"
2026-07-26,v12-q3-rxsw1-blocking-run16,segment,10,LT-IN1,1,16,1,3,OK,0.00,0.00,-1.33,1.33,"[0.0747,0.0107,1.6912,-1.6738]","[0.0755,0.0108,1.7081,1.6571]","[1.0100,1.0100,1.0100,0.9900]","[OK,OK,OK,OK]",OK,"[0,0,0,0]","[82,-11,1864,1808]","[82,-11,1864,1808]","(-1.60,1.50)","(0.00,0.00)","(-1.60,1.50)","(0.13,-0.23)",GOOD,"LT restart attempt=1/3"
2026-07-26,v12-q3-rxsw1-blocking-run16,segment,11,LT-IN1,1,16,2,3,OK,-1.33,1.33,-2.67,2.67,"[0.1597,0.0960,1.7067,-1.6541]","[0.1613,0.0970,1.7238,1.6376]","[1.0100,1.0100,1.0100,0.9900]","[OK,OK,OK,OK]",OK,"[82,-11,1864,1808]","[258,-117,3745,3595]","[176,-106,1881,1787]","(-3.00,3.00)","(0.00,0.00)","(-3.00,3.00)","(0.27,-0.44)",GOOD,
2026-07-26,v12-q3-rxsw1-blocking-run16,segment,12,LT-IN1,1,16,3,3,OK,-2.67,2.67,-4.00,4.00,"[0.2437,0.1808,1.7205,-1.6317]","[0.2461,0.1826,1.7377,1.6154]","[1.0100,1.0100,1.0100,0.9900]","[OK,OK,OK,OK]",OK,"[258,-117,3745,3595]","[527,-317,5641,5358]","[269,-200,1896,1763]","(-4.30,4.60)","(0.00,0.00)","(-4.30,4.60)","(0.40,-0.69)",GOOD,"PATROL NODE LT-IN1 soft=(-4.00,4.00)"
2026-07-26,v12-q3-rxsw1-blocking-run16,segment,13,LT-IN2,2,16,1,3,OK,-4.00,4.00,-5.33,5.33,"[0.3262,0.2645,1.7327,-1.6062]","[0.3295,0.2671,1.7501,1.5902]","[1.0100,1.0100,1.0100,0.9900]","[OK,OK,OK,OK]",OK,"[527,-317,5641,5358]","[887,-608,7551,7093]","[360,-291,1910,1735]","(-5.50,6.80)","(0.00,0.00)","(-5.50,6.80)","(0.51,-1.00)",GOOD,
2026-07-26,v12-q3-rxsw1-blocking-run16,segment,14,LT-IN2,2,16,2,3,OK,-5.33,5.33,-6.67,6.67,"[0.4069,0.3466,1.7438,-1.5770]","[0.4109,0.3500,1.7612,1.5613]","[1.0100,1.0100,1.0100,0.9900]","[OK,OK,OK,OK]",OK,"[887,-608,7551,7093]","[1334,-990,9473,8797]","[447,-382,1922,1704]","(-6.20,9.10)","(0.00,0.00)","(-6.20,9.10)","(0.59,-1.00)",GOOD,
2026-07-26,v12-q3-rxsw1-blocking-run16,segment,15,LT-IN2,2,16,3,3,OK,-6.67,6.67,-8.00,8.00,"[0.4852,0.4267,1.7537,-1.5435]","[0.4901,0.4309,1.7712,1.5281]","[1.0100,1.0100,1.0100,0.9900]","[OK,OK,OK,OK]",OK,"[1334,-990,9473,8797]","[1869,-1460,11406,10465]","[535,-470,1933,1668]","(-7.40,11.30)","(0.00,0.00)","(-7.40,11.30)","(0.71,-1.00)",GOOD,"PATROL NODE LT-IN2 soft=(-8.00,8.00)"
