capture_date,run_id,event_order,event_type,waypoint,step,total,segment,segment_total,from_x_cm,from_y_cm,to_x_cm,to_y_cm,soft_x_cm,soft_y_cm,dL_m1_cm,dL_m2_cm,dL_m3_cm,dL_m4_cm,cmd_m1_cm,cmd_m2_cm,cmd_m3_cm,cmd_m4_cm,bal,laser_x_cm,laser_y_cm,circle_x_cm,circle_y_cm,err_x_cm,err_y_cm,tilt_x,tilt_y,age_ms,enc_m1_0p1deg,enc_m2_0p1deg,enc_m3_0p1deg,enc_m4_0p1deg,m1_result,m2_result,m3_result,m4_result,trigger_result,status,notes
2026-07-24,P1,10,HOME,CENTER,待确认,待确认,待确认,待确认,待确认,待确认,待确认,待确认,0.00,0.00,待确认,待确认,待确认,待确认,待确认,待确认,待确认,待确认,待确认,-0.10,-0.20,0.00,0.00,-0.10,-0.20,待确认,待确认,待确认,待确认,待确认,待确认,待确认,OK,OK,OK,OK,OK,confirmed,"HOME src=LASER-CIRCLE；随后 tension normalize count=40 vmax=60，recenter=(-0.10,-0.10)，d=0.14 cm"
2026-07-24,P1,20,CAL,LT,4,28,待确认,待确认,待确认,待确认,待确认,待确认,-19.47,14.27,待确认,待确认,待确认,待确认,待确认,待确认,待确认,待确认,1,-19.70,20.00,-20.00,20.00,0.20,-0.10,-0.20,0.53,1,4454,-9459,22112,19884,OK,OK,OK,OK,OK,confirmed,"PATROL CAL LT n=1；CAL 行的 err=(0.20,-0.10)，紧邻视觉行的 err=(0.30,0.00)，分别保留"
2026-07-24,P1,30,VISION_FREEZE,LT-OUT1,5,28,3,8,-16.60,12.70,-15.17,11.92,-15.17,11.92,-0.37,-1.01,-1.50,0.99,0.37,1.01,1.50,0.85,1,-14.00,18.50,-20.00,20.00,6.00,-1.50,-0.74,0.75,737,待确认,待确认,待确认,待确认,OK,OK,OK,OK,OK,stale,"cnt=856 自此不再增长；该小段之后 age=737 ms"
2026-07-24,P1,40,VISION_FREEZE,CENTER-LT,7,28,3,3,-1.33,1.33,0.00,0.00,0.00,0.00,-0.07,-0.01,-1.69,1.67,0.07,0.01,1.69,1.67,0,-14.00,18.50,-20.00,20.00,6.00,-1.50,-0.74,0.75,27355,148,282,-2204,1542,OK,OK,OK,OK,OK,stale,"PATROL NODE 随后记录 vision age=27537 ms；enc 来自该 NODE"
2026-07-24,P1,50,ABORT,CENTER-LT,7,28,待确认,待确认,待确认,待确认,待确认,待确认,0.00,0.00,待确认,待确认,待确认,待确认,待确认,待确认,待确认,待确认,待确认,-14.00,18.50,-20.00,20.00,6.00,-1.50,-0.74,0.75,27537,148,282,-2204,1542,待确认,待确认,待确认,待确认,not_sent,aborted,"MANUAL auto home abort: vision offline；PATROL abort: center reset failed after waypoint 7/28"
2026-07-24,P1,60,MANUAL_RETURN,CENTER,待确认,待确认,待确认,待确认,待确认,待确认,待确认,待确认,0.00,0.00,待确认,待确认,待确认,待确认,待确认,待确认,待确认,待确认,待确认,0.30,-0.50,待确认,待确认,待确认,待确认,待确认,待确认,待确认,0,0,0,0,OK,OK,OK,OK,OK,confirmed,"return start cur=[148,282,-2204,1542] zero=[0,0,0,0]；delta=[-148,-282,2204,-1542]；visual zero refreshed"
2026-07-24,P2,10,HOME,CENTER,待确认,待确认,待确认,待确认,待确认,待确认,待确认,待确认,0.00,0.00,待确认,待确认,待确认,待确认,待确认,待确认,待确认,待确认,待确认,0.30,-0.40,0.00,0.00,0.30,-0.40,待确认,待确认,待确认,待确认,待确认,待确认,待确认,OK,OK,OK,OK,OK,confirmed,"HOME src=LASER-CIRCLE；随后 tension normalize count=40 vmax=60，recenter=(0.30,-0.40)，d=0.50 cm"
2026-07-24,P2,20,CAL,LT,4,28,待确认,待确认,待确认,待确认,待确认,待确认,-19.47,14.27,待确认,待确认,待确认,待确认,待确认,待确认,待确认,待确认,1,-19.80,20.20,-20.00,20.00,0.30,0.20,-0.26,0.49,98,4406,-8960,21957,19882,OK,OK,OK,OK,OK,confirmed,"PATROL CAL LT n=2；AVG n=2 soft=(-19.47,14.27) err=(0.25,0.05) tilt=(-0.23,0.51) enc_avg=[4430,-9210,22035,19883]"
2026-07-24,P2,30,NODE,RT,11,28,6,6,15.33,16.58,16.00,17.50,16.00,17.50,1.07,-0.67,0.69,0.40,0.92,0.67,0.71,0.41,1,16.70,15.10,0.00,0.00,16.70,15.10,-1.00,-1.00,0,21757,20215,8338,-5713,OK,OK,OK,OK,OK,vision_unconfirmed,"circle=2 但检测到中心圆 circle=(0.00,0.00)；多次 seen_other；仅按 encoder target 命中，RT n=0"
2026-07-24,P2,40,NODE,RB,18,28,4,4,15.00,-14.12,16.00,-15.00,16.00,-15.00,0.65,0.56,-0.85,1.26,0.67,0.57,0.85,1.09,1,14.80,-16.40,20.00,-20.00,-5.20,3.60,0.62,-0.73,0,6341,-5819,-19010,-20151,OK,OK,OK,OK,OK,confirmed_node,"RB 名义点；之后进入视觉细调"
